Date,AAPL,AMZN,BAC,CVX,GLD,GOOGL,GS,IBIT,JNJ,JPM,META,MSFT,NVDA,PFE,SLV,TLT,TSLA,UNH,USO,WMT,XOM
2019-01-02,37.46920394897461,76.95649719238281,20.83681869506836,79.87268829345703,121.33000183105469,52.2705078125,144.7537078857422,,103.79098510742188,80.83650207519531,134.49888610839844,94.19314575195312,3.373051643371582,28.81865692138672,14.5600004196167,98.6919174194336,20.674667358398438,214.22959899902344,78.80000305175781,27.91377830505371,49.66474151611328
2019-01-03,33.73698806762695,75.01399993896484,20.50289535522461,78.34291076660156,122.43000030517578,50.822837829589844,142.63327026367188,,102.1417007446289,79.68766784667969,130.5932159423828,90.72798156738281,3.1692633628845215,28.01240348815918,14.75,99.81499481201172,20.02400016784668,208.3875732421875,79.5999984741211,27.770233154296875,48.90221405029297
2019-01-04,35.17720413208008,78.76950073242188,21.354402542114258,79.96646881103516,121.44000244140625,53.42972183227539,147.29490661621094,,103.85597229003906,82.6253890991211,136.74913024902344,94.94763946533203,3.372309684753418,28.65207862854004,14.729999542236328,98.65960693359375,21.179332733154297,210.82464599609375,81.44000244140625,27.943683624267578,50.70522689819336
2019-01-07,35.09891128540039,81.47550201416016,21.33770179748535,81.00558471679688,121.86000061035156,53.32317352294922,148.11105346679688,,103.18975067138672,82.68284606933594,136.84823608398438,95.0687484741211,3.550841808319092,28.80532455444336,14.670000076293945,98.3687744140625,22.33066749572754,211.22935485839844,82.31999969482422,28.27264404296875,50.968902587890625
2019-01-08,35.768009185791016,82.8290023803711,21.29596519470215,80.65199279785156,121.52999877929688,53.79151916503906,147.56410217285156,,105.58651733398438,82.52693176269531,141.2892303466797,95.75804901123047,3.462442636489868,28.9385929107666,14.6899995803833,98.11021423339844,22.356666564941406,214.0535888671875,84.0,28.47002601623535,51.339473724365234
2019-01-09,36.37540054321289,82.97100067138672,21.50466537475586,81.734375,122.30999755859375,53.60715866088867,148.48973083496094,,104.74967193603516,82.38744354248047,142.9744415283203,97.12735748291016,3.5305368900299072,28.87862777709961,14.779999732971191,97.95670318603516,22.568666458129883,214.36155700683594,88.4000015258789,28.37731170654297,51.61028289794922
2019-01-10,36.49166488647461,82.81099700927734,21.47962188720703,81.86427307128906,121.58999633789062,53.46739196777344,148.0941925048828,,105.3833999633789,82.37921142578125,142.9447021484375,96.50325775146484,3.596156120300293,28.19230842590332,14.600000381469727,97.32649993896484,22.99799919128418,215.44375610351562,88.80000305175781,28.398244857788086,51.34660720825195
2019-01-11,36.13339614868164,82.02799987792969,21.730066299438477,81.2076187133789,121.80000305175781,52.75570297241211,148.87677001953125,,105.4158935546875,81.9853515625,142.5482177734375,95.75804901123047,3.6852986812591553,28.57211685180664,14.640000343322754,97.70625305175781,23.150667190551758,217.9073028564453,87.19999694824219,28.362363815307617,51.111427307128906
2019-01-14,35.590049743652344,80.8604965209961,22.01389503479004,80.61591339111328,122.08999633789062,52.113399505615234,150.3830108642578,,104.2215805053711,82.8305435180664,144.12435913085938,95.05941772460938,3.7251646518707275,28.232280731201172,14.65999984741211,97.34268951416016,22.293333053588867,218.2504425048828,85.5199966430664,28.39525604248047,51.04728317260742
2019-01-15,36.31846237182617,83.72799682617188,22.164167404174805,80.904541015625,121.87999725341797,53.848018646240234,151.38426208496094,,105.09903717041016,83.43779754638672,147.65338134765625,97.8166732788086,3.7110512256622314,28.47216033935547,14.600000381469727,96.98714447021484,22.961999893188477,226.00167846679688,88.0,28.784025192260742,51.07578659057617
2019-01-16,36.76215362548828,84.18900299072266,23.75029754638672,80.38500213623047,122.2699966430664,53.9966926574707,165.83192443847656,,104.02658081054688,84.11066436767578,146.2556610107422,98.16130828857422,3.685546875,28.059040069580078,14.630000114440918,97.0841293334961,23.06999969482422,230.04010009765625,88.4800033569336,28.813940048217773,51.054405212402344
2019-01-17,36.98043441772461,84.66100311279297,24.201095581054688,80.78912353515625,122.11000061035156,54.47297668457031,167.5232391357422,,104.87967681884766,84.45530700683594,147.009033203125,98.85063171386719,3.7568602561950684,28.29891586303711,14.569999694824219,97.1083755493164,23.15399932861328,228.55313110351562,88.23999786376953,28.930566787719727,51.40361022949219
2019-01-18,37.20821762084961,84.80999755859375,24.459884643554688,82.52812957763672,121.0199966430664,54.87838363647461,170.42617797851562,,106.1795883178711,85.82571411132812,148.73387145996094,100.33172607421875,3.885869026184082,28.338895797729492,14.369999885559082,96.59933471679688,20.150667190551758,233.5946044921875,90.4800033569336,29.22663116455078,52.016502380371094
2019-01-22,36.373023986816406,81.6084976196289,24.28457260131836,81.06329345703125,121.44999694824219,53.45747756958008,166.33677673339844,,104.64405059814453,84.47173309326172,146.28536987304688,98.44076538085938,3.6838126182556152,28.1656551361084,14.390000343322754,97.25376892089844,19.92799949645996,233.76182556152344,88.95999908447266,29.154850006103516,51.23257827758789
2019-01-23,36.5201301574707,82.0009994506836,24.14266014099121,80.3777847290039,121.27999877929688,53.74393844604492,165.68040466308594,,104.64405059814453,84.25837707519531,143.0438232421875,99.40022277832031,3.6966893672943115,28.092357635498047,14.420000076293945,97.21340942382812,19.172666549682617,234.9319305419922,88.4000015258789,29.519697189331055,50.81212615966797
2019-01-24,36.23066711425781,82.74649810791016,24.27623176574707,81.90753936767578,121.08999633789062,53.72362518310547,166.437744140625,,103.20599365234375,84.3076171875,144.560546875,98.92512512207031,3.908402681350708,27.286094665527344,14.359999656677246,97.85167694091797,19.43400001525879,234.1489715576172,89.36000061035156,29.41503143310547,50.88338088989258
2019-01-25,37.431251525878906,83.52850341796875,24.693628311157227,81.69829559326172,122.86000061035156,54.5914306640625,168.91162109375,,104.18094635009766,84.84100341796875,147.7128448486328,99.82868957519531,3.965601921081543,27.079547882080078,14.739999771118164,97.38307189941406,19.80266761779785,235.83816528320312,90.0,28.990373611450195,51.111427307128906
2019-01-28,37.08483123779297,81.89450073242188,24.73537826538086,80.94064331054688,123.29000091552734,53.51844024658203,168.05331420898438,,104.79840850830078,85.24309539794922,146.18626403808594,97.88188171386719,3.4173758029937744,26.339920043945312,14.789999961853027,97.28610229492188,19.7586669921875,234.71197509765625,87.5999984741211,29.02625846862793,50.76934814453125
2019-01-29,36.700462341308594,79.69400024414062,24.53502082824707,80.69528198242188,123.9800033569336,53.032745361328125,168.70960998535156,,105.88711547851562,85.48104858398438,142.93482971191406,95.88846588134766,3.258652687072754,27.16616439819336,14.880000114440918,97.77893829345703,19.83066749572754,235.2135772705078,89.27999877929688,28.921594619750977,50.96177291870117
2019-01-30,39.208377838134766,83.52149963378906,24.267881393432617,81.5467758178711,124.69000244140625,54.41697311401367,170.37567138671875,,106.95144653320312,85.67800903320312,149.11056518554688,99.09281921386719,3.4020230770111084,27.70589828491211,15.050000190734863,97.70625305175781,20.584667205810547,237.87940979003906,91.19999694824219,28.350400924682617,51.51763916015625
2019-01-31,39.49072265625,85.9365005493164,23.766996383666992,82.73016357421875,124.75,55.799705505371094,166.61444091796875,,108.12135314941406,84.93128967285156,165.2389373779297,97.2763900756836,3.559508800506592,28.532629013061523,15.050000190734863,98.54652404785156,20.468000411987305,237.7299041748047,90.80000305175781,28.65842056274414,52.22315979003906
2019-02-01,39.50969696044922,81.3115005493164,23.691865921020508,85.41448974609375,124.5,55.43940734863281,165.37753295898438,,109.03131103515625,85.24309539794922,164.26747131347656,95.73944091796875,3.5837745666503906,28.821653366088867,14.920000076293945,97.95134735107422,20.81399917602539,236.42776489257812,93.04000091552734,28.06928825378418,54.10456466674805
2019-02-04,40.63197326660156,81.66549682617188,24.109268188476562,86.403076171875,123.95999908447266,56.56938934326172,166.37037658691406,,107.95889282226562,85.54670715332031,167.77664184570312,98.49665832519531,3.693965435028076,28.52591323852539,14.880000114440918,97.5140609741211,20.859333038330078,235.97897338867188,92.0,28.3414249420166,53.32066345214844
