tournament_year,group_name,team,team_order,team_fifaCode,team_flagCode,team_flagUrl
1966,Group 1,France,4,FRA,fr,https://flagcdn.com/w80/fr.png
1966,Group 2,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1966,Group 2,Argentina,2,ARG,ar,https://flagcdn.com/w80/ar.png
1966,Group 2,Spain,3,ESP,es,https://flagcdn.com/w80/es.png
1966,Group 2,Switzerland,4,SUI,ch,https://flagcdn.com/w80/ch.png
1966,Group 3,Portugal,1,POR,pt,https://flagcdn.com/w80/pt.png
1966,Group 3,Hungary,2,HUN,hu,https://flagcdn.com/w80/hu.png
1966,Group 3,Brazil,3,BRA,br,https://flagcdn.com/w80/br.png
1966,Group 3,Bulgaria,4,BUL,bg,https://flagcdn.com/w80/bg.png
1966,Group 4,Soviet Union,1,URS,ru,https://flagcdn.com/w80/ru.png
1966,Group 4,North Korea,2,PRK,kp,https://flagcdn.com/w80/kp.png
1966,Group 4,Italy,3,ITA,it,https://flagcdn.com/w80/it.png
1966,Group 4,Chile,4,CHI,cl,https://flagcdn.com/w80/cl.png
1970,Group 1,Soviet Union,1,URS,ru,https://flagcdn.com/w80/ru.png
1970,Group 1,Mexico,2,MEX,mx,https://flagcdn.com/w80/mx.png
1970,Group 1,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1970,Group 1,El Salvador,4,SLV,sv,https://flagcdn.com/w80/sv.png
1970,Group 2,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
1970,Group 2,Uruguay,2,URU,uy,https://flagcdn.com/w80/uy.png
1970,Group 2,Sweden,3,SWE,se,https://flagcdn.com/w80/se.png
1970,Group 2,Israel,4,ISR,il,https://flagcdn.com/w80/il.png
1970,Group 3,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1970,Group 3,England,2,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1970,Group 3,Romania,3,ROU,ro,https://flagcdn.com/w80/ro.png
1970,Group 3,Czechoslovakia,4,TCH,cz,https://flagcdn.com/w80/cz.png
1970,Group 4,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1970,Group 4,Peru,2,PER,pe,https://flagcdn.com/w80/pe.png
1970,Group 4,Bulgaria,3,BUL,bg,https://flagcdn.com/w80/bg.png
1970,Group 4,Morocco,4,MAR,ma,https://flagcdn.com/w80/ma.png
1974,Group 1,East Germany,1,GDR,de,https://flagcdn.com/w80/de.png
1974,Group 1,West Germany,2,FRG,de,https://flagcdn.com/w80/de.png
1974,Group 1,Chile,3,CHI,cl,https://flagcdn.com/w80/cl.png
1974,Group 1,Australia,4,AUS,au,https://flagcdn.com/w80/au.png
1974,Group 2,Yugoslavia,1,YUG,rs,https://flagcdn.com/w80/rs.png
1974,Group 2,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1974,Group 2,Scotland,3,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1974,Group 2,Zaire,4,ZAI,cd,https://flagcdn.com/w80/cd.png
1974,Group 3,Netherlands,1,NED,nl,https://flagcdn.com/w80/nl.png
1974,Group 3,Sweden,2,SWE,se,https://flagcdn.com/w80/se.png
1974,Group 3,Bulgaria,3,BUL,bg,https://flagcdn.com/w80/bg.png
1974,Group 3,Uruguay,4,URU,uy,https://flagcdn.com/w80/uy.png
1974,Group 4,Poland,1,POL,pl,https://flagcdn.com/w80/pl.png
1974,Group 4,Argentina,2,ARG,ar,https://flagcdn.com/w80/ar.png
1974,Group 4,Italy,3,ITA,it,https://flagcdn.com/w80/it.png
1974,Group 4,Haiti,4,HAI,ht,https://flagcdn.com/w80/ht.png
1974,Group A,Netherlands,1,NED,nl,https://flagcdn.com/w80/nl.png
1974,Group A,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1974,Group A,East Germany,3,GDR,de,https://flagcdn.com/w80/de.png
1974,Group A,Argentina,4,ARG,ar,https://flagcdn.com/w80/ar.png
1974,Group B,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1974,Group B,Poland,2,POL,pl,https://flagcdn.com/w80/pl.png
1974,Group B,Sweden,3,SWE,se,https://flagcdn.com/w80/se.png
1974,Group B,Yugoslavia,4,YUG,rs,https://flagcdn.com/w80/rs.png
1978,Group 1,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
1978,Group 1,Argentina,2,ARG,ar,https://flagcdn.com/w80/ar.png
1978,Group 1,France,3,FRA,fr,https://flagcdn.com/w80/fr.png
1978,Group 1,Hungary,4,HUN,hu,https://flagcdn.com/w80/hu.png
1978,Group 2,Poland,1,POL,pl,https://flagcdn.com/w80/pl.png
1978,Group 2,West Germany,2,FRG,de,https://flagcdn.com/w80/de.png
1978,Group 2,Tunisia,3,TUN,tn,https://flagcdn.com/w80/tn.png
1978,Group 2,Mexico,4,MEX,mx,https://flagcdn.com/w80/mx.png
1978,Group 3,Austria,1,AUT,at,https://flagcdn.com/w80/at.png
1978,Group 3,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1978,Group 3,Spain,3,ESP,es,https://flagcdn.com/w80/es.png
1978,Group 3,Sweden,4,SWE,se,https://flagcdn.com/w80/se.png
1978,Group 4,Peru,1,PER,pe,https://flagcdn.com/w80/pe.png
1978,Group 4,Netherlands,2,NED,nl,https://flagcdn.com/w80/nl.png
1978,Group 4,Scotland,3,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1978,Group 4,Iran,4,IRN,ir,https://flagcdn.com/w80/ir.png
1978,Group A,Netherlands,1,NED,nl,https://flagcdn.com/w80/nl.png
1978,Group A,Italy,2,ITA,it,https://flagcdn.com/w80/it.png
1978,Group A,West Germany,3,FRG,de,https://flagcdn.com/w80/de.png
1978,Group A,Austria,4,AUT,at,https://flagcdn.com/w80/at.png
1978,Group B,Argentina,1,ARG,ar,https://flagcdn.com/w80/ar.png
1978,Group B,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1978,Group B,Poland,3,POL,pl,https://flagcdn.com/w80/pl.png
1978,Group B,Peru,4,PER,pe,https://flagcdn.com/w80/pe.png
1982,Group 1,Poland,1,POL,pl,https://flagcdn.com/w80/pl.png
1982,Group 1,Italy,2,ITA,it,https://flagcdn.com/w80/it.png
1982,Group 1,Cameroon,3,CMR,cm,https://flagcdn.com/w80/cm.png
1982,Group 1,Peru,4,PER,pe,https://flagcdn.com/w80/pe.png
1982,Group 2,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1982,Group 2,Austria,2,AUT,at,https://flagcdn.com/w80/at.png
1982,Group 2,Algeria,3,ALG,dz,https://flagcdn.com/w80/dz.png
1982,Group 2,Chile,4,CHI,cl,https://flagcdn.com/w80/cl.png
1982,Group 3,Belgium,1,BEL,be,https://flagcdn.com/w80/be.png
1982,Group 3,Argentina,2,ARG,ar,https://flagcdn.com/w80/ar.png
1982,Group 3,Hungary,3,HUN,hu,https://flagcdn.com/w80/hu.png
1982,Group 3,El Salvador,4,SLV,sv,https://flagcdn.com/w80/sv.png
1982,Group 4,England,1,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1982,Group 4,France,2,FRA,fr,https://flagcdn.com/w80/fr.png
1982,Group 4,Czechoslovakia,3,TCH,cz,https://flagcdn.com/w80/cz.png
1982,Group 4,Kuwait,4,KUW,kw,https://flagcdn.com/w80/kw.png
1982,Group 5,Northern Ireland,1,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1982,Group 5,Spain,2,ESP,es,https://flagcdn.com/w80/es.png
1982,Group 5,Yugoslavia,3,YUG,rs,https://flagcdn.com/w80/rs.png
1982,Group 5,Honduras,4,HON,hn,https://flagcdn.com/w80/hn.png
1982,Group 6,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1982,Group 6,Soviet Union,2,URS,ru,https://flagcdn.com/w80/ru.png
1982,Group 6,Scotland,3,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1982,Group 6,New Zealand,4,NZL,nz,https://flagcdn.com/w80/nz.png
1982,Group A,Poland,1,POL,pl,https://flagcdn.com/w80/pl.png
1982,Group A,Soviet Union,2,URS,ru,https://flagcdn.com/w80/ru.png
1982,Group A,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1982,Group B,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1982,Group B,England,2,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1982,Group B,Spain,3,ESP,es,https://flagcdn.com/w80/es.png
1982,Group C,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
1982,Group C,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1982,Group C,Argentina,3,ARG,ar,https://flagcdn.com/w80/ar.png
1982,Group D,France,1,FRA,fr,https://flagcdn.com/w80/fr.png
1982,Group D,Austria,2,AUT,at,https://flagcdn.com/w80/at.png
1982,Group D,Northern Ireland,3,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1986,Group A,Argentina,1,ARG,ar,https://flagcdn.com/w80/ar.png
1986,Group A,Italy,2,ITA,it,https://flagcdn.com/w80/it.png
1986,Group A,Bulgaria,3,BUL,bg,https://flagcdn.com/w80/bg.png
1986,Group A,South Korea,4,KOR,kr,https://flagcdn.com/w80/kr.png
1986,Group B,Mexico,1,MEX,mx,https://flagcdn.com/w80/mx.png
1986,Group B,Paraguay,2,PAR,py,https://flagcdn.com/w80/py.png
1986,Group B,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1986,Group B,Iraq,4,IRQ,iq,https://flagcdn.com/w80/iq.png
1986,Group C,Soviet Union,1,URS,ru,https://flagcdn.com/w80/ru.png
1986,Group C,France,2,FRA,fr,https://flagcdn.com/w80/fr.png
1986,Group C,Hungary,3,HUN,hu,https://flagcdn.com/w80/hu.png
1986,Group C,Canada,4,CAN,ca,https://flagcdn.com/w80/ca.png
1986,Group D,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1986,Group D,Spain,2,ESP,es,https://flagcdn.com/w80/es.png
1986,Group D,Northern Ireland,3,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1986,Group D,Algeria,4,ALG,dz,https://flagcdn.com/w80/dz.png
1986,Group E,Denmark,1,DEN,dk,https://flagcdn.com/w80/dk.png
1986,Group E,West Germany,2,FRG,de,https://flagcdn.com/w80/de.png
1986,Group E,Uruguay,3,URU,uy,https://flagcdn.com/w80/uy.png
1986,Group E,Scotland,4,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1986,Group F,Morocco,1,MAR,ma,https://flagcdn.com/w80/ma.png
1986,Group F,England,2,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1986,Group F,Poland,3,POL,pl,https://flagcdn.com/w80/pl.png
1986,Group F,Portugal,4,POR,pt,https://flagcdn.com/w80/pt.png
1990,Group A,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
1990,Group A,Czechoslovakia,2,TCH,cz,https://flagcdn.com/w80/cz.png
1990,Group A,Austria,3,AUT,at,https://flagcdn.com/w80/at.png
1990,Group A,United States,4,USA,us,https://flagcdn.com/w80/us.png
1990,Group B,Cameroon,1,CMR,cm,https://flagcdn.com/w80/cm.png
1990,Group B,Romania,2,ROU,ro,https://flagcdn.com/w80/ro.png
1990,Group B,Argentina,3,ARG,ar,https://flagcdn.com/w80/ar.png
1990,Group B,Soviet Union,4,URS,ru,https://flagcdn.com/w80/ru.png
1990,Group C,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1990,Group C,Costa Rica,2,CRC,cr,https://flagcdn.com/w80/cr.png
1990,Group C,Scotland,3,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1990,Group C,Sweden,4,SWE,se,https://flagcdn.com/w80/se.png
1990,Group D,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1990,Group D,Yugoslavia,2,YUG,rs,https://flagcdn.com/w80/rs.png
1990,Group D,Colombia,3,COL,co,https://flagcdn.com/w80/co.png
1990,Group D,United Arab Emirates,4,UAE,ae,https://flagcdn.com/w80/ae.png
1990,Group E,Spain,1,ESP,es,https://flagcdn.com/w80/es.png
1990,Group E,Belgium,2,BEL,be,https://flagcdn.com/w80/be.png
1990,Group E,Uruguay,3,URU,uy,https://flagcdn.com/w80/uy.png
1990,Group E,South Korea,4,KOR,kr,https://flagcdn.com/w80/kr.png
1990,Group F,England,1,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1990,Group F,Ireland,2,IRL,ie,https://flagcdn.com/w80/ie.png
1990,Group F,Netherlands,3,NED,nl,https://flagcdn.com/w80/nl.png
1990,Group F,Egypt,4,EGY,eg,https://flagcdn.com/w80/eg.png
1994,Group A,Romania,1,ROU,ro,https://flagcdn.com/w80/ro.png
1994,Group A,Switzerland,2,SUI,ch,https://flagcdn.com/w80/ch.png
1994,Group A,USA,3,USA,us,https://flagcdn.com/w80/us.png
1994,Group A,Colombia,4,COL,co,https://flagcdn.com/w80/co.png
1994,Group B,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1994,Group B,Sweden,2,SWE,se,https://flagcdn.com/w80/se.png
1994,Group B,Russia,3,RUS,ru,https://flagcdn.com/w80/ru.png
1994,Group B,Cameroon,4,CMR,cm,https://flagcdn.com/w80/cm.png
1994,Group C,Germany,1,GER,de,https://flagcdn.com/w80/de.png
1994,Group C,Spain,2,ESP,es,https://flagcdn.com/w80/es.png
1994,Group C,South Korea,3,KOR,kr,https://flagcdn.com/w80/kr.png
1994,Group C,Bolivia,4,BOL,bo,https://flagcdn.com/w80/bo.png
1994,Group D,Nigeria,1,NGA,ng,https://flagcdn.com/w80/ng.png
1994,Group D,Bulgaria,2,BUL,bg,https://flagcdn.com/w80/bg.png
1994,Group D,Argentina,3,ARG,ar,https://flagcdn.com/w80/ar.png
1994,Group D,Greece,4,GRE,gr,https://flagcdn.com/w80/gr.png
1994,Group E,Mexico,1,MEX,mx,https://flagcdn.com/w80/mx.png
1994,Group E,Ireland,2,IRL,ie,https://flagcdn.com/w80/ie.png
1994,Group E,Italy,3,ITA,it,https://flagcdn.com/w80/it.png
1994,Group E,Norway,4,NOR,no,https://flagcdn.com/w80/no.png
1994,Group F,Netherlands,1,NED,nl,https://flagcdn.com/w80/nl.png
1994,Group F,Saudi Arabia,2,KSA,sa,https://flagcdn.com/w80/sa.png
1994,Group F,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1994,Group F,Morocco,4,MAR,ma,https://flagcdn.com/w80/ma.png
1998,Group A,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1998,Group A,Norway,2,NOR,no,https://flagcdn.com/w80/no.png
1998,Group A,Morocco,3,MAR,ma,https://flagcdn.com/w80/ma.png
1998,Group A,Scotland,4,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1998,Group B,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
