tournament_year,stage,match_date,match_time,utc_offset,home_team,away_team,home_goals,away_goals,result_extra,venue,city,status,home_fifaCode,home_flagCode,home_flagUrl,away_fifaCode,away_flagCode,away_flagUrl
1934,Quarter-finals,1934-05-31,,,Austria,Hungary,2,1,(1-0),Stadio Littoriale,Bologna,played,AUT,at,https://flagcdn.com/w80/at.png,HUN,hu,https://flagcdn.com/w80/hu.png
1934,"Quarter-finals, Replays",1934-06-01,,,Italy,Spain,1,0,(1-0),Stadio Giovanni Berta,Florence,played,ITA,it,https://flagcdn.com/w80/it.png,ESP,es,https://flagcdn.com/w80/es.png
1934,Semi-finals,1934-06-03,,,Italy,Austria,1,0,(1-0),Stadio San Siro,Milan,played,ITA,it,https://flagcdn.com/w80/it.png,AUT,at,https://flagcdn.com/w80/at.png
1934,Semi-finals,1934-06-03,,,Czechoslovakia,Germany,3,1,(1-0),Stadio Nazionale PNF,Rome,played,TCH,cz,https://flagcdn.com/w80/cz.png,GER,de,https://flagcdn.com/w80/de.png
1934,Third-place match,1934-06-07,,,Germany,Austria,3,2,(3-1),Stadio Giorgio Ascarelli,Naples,played,GER,de,https://flagcdn.com/w80/de.png,AUT,at,https://flagcdn.com/w80/at.png
1934,Final,1934-06-10,,,Italy,Czechoslovakia,2,1,"a.e.t. (1-1, 0-0)",Stadio Nazionale PNF,Rome,played,ITA,it,https://flagcdn.com/w80/it.png,TCH,cz,https://flagcdn.com/w80/cz.png
1938,First round,1938-06-04,,,Switzerland,Germany,1,1,"a.e.t. (1-1, 1-1)",Parc des Princes,Paris,played,SUI,ch,https://flagcdn.com/w80/ch.png,GER,de,https://flagcdn.com/w80/de.png
1938,First round,1938-06-05,,,Hungary,Dutch East Indies,6,0,(4-0),Vélodrome Municipal,Reims,played,HUN,hu,https://flagcdn.com/w80/hu.png,INH,id,https://flagcdn.com/w80/id.png
1938,First round,1938-06-05,,,France,Belgium,3,1,(2-1),Stade Olympique de Colombes,Paris,played,FRA,fr,https://flagcdn.com/w80/fr.png,BEL,be,https://flagcdn.com/w80/be.png
1938,First round,1938-06-05,,,Cuba,Romania,3,3,"a.e.t. (2-2, 1-1)",Stade Chapou,Toulouse,played,CUB,cu,https://flagcdn.com/w80/cu.png,ROU,ro,https://flagcdn.com/w80/ro.png
1938,First round,1938-06-05,,,Italy,Norway,2,1,"a.e.t. (1-1, 1-0)",Stade Vélodrome,Marseille,played,ITA,it,https://flagcdn.com/w80/it.png,NOR,no,https://flagcdn.com/w80/no.png
1938,First round,1938-06-05,,,Brazil,Poland,6,5,"a.e.t. (4-4, 3-1)",Stade de la Meinau,Strasbourg,played,BRA,br,https://flagcdn.com/w80/br.png,POL,pl,https://flagcdn.com/w80/pl.png
1938,First round,1938-06-05,,,Czechoslovakia,Netherlands,3,0,"a.e.t. (0-0, 0-0)",Stade municipal,Le Havre,played,TCH,cz,https://flagcdn.com/w80/cz.png,NED,nl,https://flagcdn.com/w80/nl.png
1938,"First round, Replays",1938-06-09,,,Cuba,Romania,2,1,(0-1),Stade Chapou,Toulouse,played,CUB,cu,https://flagcdn.com/w80/cu.png,ROU,ro,https://flagcdn.com/w80/ro.png
1938,"First round, Replays",1938-06-09,,,Germany,Switzerland,2,4,(2-1),Parc des Princes,Paris,played,GER,de,https://flagcdn.com/w80/de.png,SUI,ch,https://flagcdn.com/w80/ch.png
1938,Quarter-finals,1938-06-12,,,Brazil,Czechoslovakia,1,1,"a.e.t. (1-1, 1-0)",Parc Lescure,Bordeaux,played,BRA,br,https://flagcdn.com/w80/br.png,TCH,cz,https://flagcdn.com/w80/cz.png
1938,Quarter-finals,1938-06-12,,,Switzerland,Hungary,0,2,(0-1),Stade Victor Boucquey,Lille,played,SUI,ch,https://flagcdn.com/w80/ch.png,HUN,hu,https://flagcdn.com/w80/hu.png
1938,Quarter-finals,1938-06-12,,,Sweden,Cuba,8,0,(4-0),Stade du Fort Carré,Antibes,played,SWE,se,https://flagcdn.com/w80/se.png,CUB,cu,https://flagcdn.com/w80/cu.png
