"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.1157,0.1363,0.4555,0,0.1143,0.1,0.1667,1011760,172901,70821
0.0936,0.5073,0.3624,0.0878,0.098,0.4898,0.5102,34668,15977534,1662888
0.3355,0.2514,0.7409,0.2755,0.4082,0.235,0.2675,754273,363952,20975372
0.1157,0.1392,0.4556,0,0.1143,0.0833,0.1667,18869152,473874,90424407
0.3069,0.2514,0.737,0.2245,0.3878,0.2325,0.265,63334,52420,49562
0.3233,0.2504,0.7138,0.2245,0.3673,0.235,0.265,62633,55783,34264495
0.0932,0.5085,0.3655,0.0912,0.098,0.4898,0.5102,35723,14790265,194884
0.0979,0.1239,0.4613,0.0857,0.1,0.0833,0.1667,89808903,5053061,99790108
0.094,0.5063,0.3576,0.0878,0.098,0.4898,0.5102,37453,9947767,78045
0.1157,0.136,0.4555,0,0.1143,0.1,0.1667,234348,361813,81183676
0.0979,0.1208,0.4613,0.0857,0.1,0.0833,0.1667,12723432,1658733,54379006
0.4245,0.2496,0.7442,0.3367,0.5,0.2325,0.265,23050208,21200134,24501446
0.3282,0.2496,0.7423,0.2653,0.398,0.2325,0.265,61969,60758,56661
0.3453,0.2502,0.7337,0.2755,0.4286,0.235,0.265,80003,60385,243871
0.1159,0.1377,0.4561,0,0.1143,0.1,0.1667,265205,51218,5239164
0.0934,0.508,0.3663,0.0878,0.098,0.4898,0.5102,35635,14946573,57653
0.351,0.2486,0.7207,0.2347,0.4694,0.2325,0.2625,1142925,338402,17568985
0.1157,0.1396,0.4555,0,0.1143,0.1,0.1667,1555931,265368,125777
0.3624,0.249,0.7392,0.2653,0.4388,0.2325,0.2625,11321815,126495,35387613
0.0934,0.5073,0.3623,0.0878,0.098,0,0.5102,50612,19993812,1632177
0.3127,0.2512,0.755,0.2245,0.3673,0.2362,0.265,58921,55498,66729
0.0931,0.5085,0.3692,0.0878,0.098,0.4898,0.5102,61785,14590726,979361
0.0939,0.5065,0.3588,0.0878,0.098,0.4898,0.5102,34411,17089610,2488393
0.1157,0.1419,0.4555,0,0.1143,0.1,0.1667,1413488,10608737,68303756
0.1157,0.1313,0.4556,0,0.1143,0.0625,0.1667,10252318,1826045,28920248
0.0937,0.5072,0.36,0.0878,0.098,0.4898,0.5102,34301,15857600,810393
0.0979,0.1215,0.4613,0.0857,0.1,0.0833,0.1667,57245355,25346651,79680390
0.0935,0.5078,0.3618,0.0878,0.098,0.4898,0.5102,95323,11649222,160083
0.3845,0.2492,0.7637,0.2959,0.4796,0.2325,0.2625,32448082,30450792,33223978
0.3837,0.2506,0.7205,0.2857,0.4592,0.235,0.2675,31763611,1533208,26968764
0.0935,0.5076,0.3611,0.0878,0.098,0.4898,0.5102,29019,16028590,101552
0.1157,0.1379,0.4556,0,0.1143,0.1,0.1667,311070,17543,560577
0.3673,0.2511,0.736,0.2449,0.4796,0.235,0.2675,6535318,63522,31138675
0.0936,0.5076,0.362,0.0912,0.098,0.4898,0.5102,36676,16569230,1685375
0.1157,0.1342,0.4555,0,0.1143,0.0625,0.1667,1687996,15882,58757890
0.0933,0.508,0.3656,0.0878,0.098,0.4898,0.5102,166580,16037883,1146518
0.0979,0.1191,0.4614,0.0929,0.1,0.0833,0.1667,44649415,139721,107501215
0.0979,0.1271,0.4613,0.0857,0.1,0.0667,0.1667,90381280,14630761,83565486
0.1157,0.1333,0.4556,0,0.1143,0,0.1667,151586,42236,151880
0.1157,0.1382,0.4556,0,0.1143,0.1,0.1667,22156151,542545,8877753
0.1157,0.1417,0.4555,0,0.1143,0.0833,0.1667,824826,75977,11749754
0.0979,0.1219,0.4614,0.0929,0.1,0.0833,0.1667,71752099,54219208,90666143
0.0979,0.1213,0.4614,0.0929,0.1,0.0833,0.1667,87348220,4596974,98216054
0.0979,0.1212,0.4614,0.0929,0.1,0.0833,0.1667,13475150,689073,103124823
0.0979,0.1267,0.4614,0.0929,0.1,0.0833,0.1667,78737061,8279629,116854472
0.1157,0.1442,0.4556,0,0.1143,0.12,0.1667,4257637,294141,4319962
0.1157,0.1323,0.4555,0,0.1143,0.1,0.1667,9395921,443017,6382094
0.0979,0.1203,0.4613,0.0857,0.1,0.0833,0.1667,98446108,9408793,99510663
0.0979,0.1197,0.4614,0.0929,0.1,0.0833,0.1667,37144269,21753783,91726082
0.3739,0.2501,0.7123,0.2755,0.4286,0.235,0.2625,1913906,160283,12033910
0.0936,0.5074,0.3643,0.0878,0.098,0.4898,0.5102,39237,17521157,2549059
0.1157,0.1409,0.4555,0,0.1143,0.1,0.1667,401520,215329,5968839
0.0935,0.5076,0.3639,0.0878,0.098,0.4898,0.5102,66470,15255078,796236
0.1157,0.1374,0.4555,0,0.1143,0.0833,0.1667,9356091,295716,61699
0.3045,0.2502,0.6974,0.2245,0.398,0.23,0.265,53594,56854,86541
0.0979,0.1173,0.4614,0.0929,0.1,0.0833,0.1667,96721329,4250323,102846926
0.0979,0.1249,0.4614,0.0929,0.1,0.0833,0.1667,92023068,79900,92246212
0.0979,0.1243,0.4613,0.0857,0.1,0.0833,0.1667,62821246,3970703,72359859
0.0979,0.1195,0.4614,0.0929,0.1,0.0833,0.1667,43600084,1306028,110193682
0.3763,0.249,0.7328,0.2857,0.449,0.23,0.265,10576547,19249413,28073429
0.0935,0.5075,0.3625,0.0878,0.098,0.4898,0.5102,44483,15888931,441785
0.1157,0.1323,0.4555,0,0.1143,0.0833,0.1667,2351168,764102,620444
0.0979,0.1227,0.4614,0.0929,0.1,0.0833,0.1667,56321572,1286931,54090646
0.3771,0.2492,0.7229,0.2755,0.449,0.2325,0.265,296609,398697,32164159
0.1157,0.1362,0.4555,0,0.1143,0.1,0.1667,1367197,152643,32667380
0.0979,0.123,0.4613,0.0857,0.1,0.0833,0.1667,64728447,755326,112702390
0.0979,0.1254,0.4613,0.0857,0.1,0.0833,0.1667,529621,2965146,95806189
0.3412,0.2486,0.7319,0.2653,0.4184,0.2338,0.2625,86759,58785,58121
0.0935,0.5078,0.3647,0.0878,0.098,0.4898,0.5102,39161,14289271,1458412
0.4531,0.2506,0.7841,0.3469,0.5612,0.235,0.2638,29820351,27643046,28400179
0.1157,0.1397,0.4555,0,0.1143,0.0833,0.1667,1656335,585971,22863728
0.0933,0.508,0.3642,0.0878,0.0946,0.4898,0.5102,40317,13384616,833955
0.0937,0.507,0.3601,0.0878,0.098,0.4898,0.5102,37031,16638284,1155300
0.0979,0.1193,0.4615,0.0929,0.1,0.0833,0.1667,3305539,6080475,26141961
0.0932,0.5086,0.3648,0.0878,0.0946,0.4898,0.5102,36756,18524110,222544
0.0935,0.5077,0.3634,0.0878,0.098,0.4898,0.5102,37575,40360,825970
0.1157,0.1347,0.4555,0,0.1143,0.1,0.1667,706702,13268,1702646
0.0937,0.5072,0.3598,0.0878,0.098,0.4898,0.5102,44189,15975277,1807429
0.0979,0.1306,0.4613,0.0857,0.1,0.0833,0.1667,83306012,35338606,93781178
0.1157,0.1365,0.4555,0,0.1143,0.1,0.1667,3378674,170978,112959
0.3682,0.2512,0.7164,0.2551,0.4388,0.235,0.2675,15464899,678270,261072
0.3412,0.2504,0.7515,0.2347,0.449,0.235,0.265,1255442,3986620,40020724
0.0979,0.1218,0.4613,0.0857,0.1,0.0833,0.1667,56445222,22372874,76513733
0.0935,0.5077,0.3639,0.0878,0.098,0.4898,0.5102,37159,4395492,616628
0.1157,0.1445,0.4556,0,0.1143,0.1111,0.1667,130365,32366,2321877
0.1157,0.1314,0.4555,0,0.1143,0.0625,0.1667,18350,10105,5725025
0.3502,0.2498,0.7117,0.2653,0.4286,0.2325,0.265,175150,57366,25487958
0.3943,0.2488,0.7327,0.2653,0.5102,0.2325,0.2625,18024066,20224540,22274848
0.3494,0.2503,0.7254,0.2653,0.449,0.2375,0.265,2228062,68513,9442193
0.3314,0.2486,0.7451,0.2449,0.3878,0.2325,0.2625,92625,57943,83435
0.0979,0.1193,0.4614,0.0929,0.1,0.0833,0.1667,15191276,2100001,101571054
0.1157,0.1375,0.4555,0,0.1143,0.1,0.1667,6050877,176604,64833954
0.3265,0.2506,0.7042,0.2347,0.4286,0.235,0.265,64615,61293,54490
0.0979,0.1266,0.4613,0.0857,0.1,0.0833,0.1667,82051625,53887,117207099
0.0979,0.1322,0.4614,0.0929,0.1,0.0833,0.1667,3040890,2854986,109952742
0.0979,0.118,0.4614,0.0929,0.1,0.0833,0.1667,21583515,426555,84942972
0.3682,0.2511,0.7254,0.2551,0.4796,0.235,0.265,30115468,30084630,33043603
0.1157,0.136,0.4556,0,0.1143,0.1,0.1667,2419593,338791,76977158
0.0979,0.1187,0.4614,0.0929,0.1,0.0833,0.1667,92195579,1211580,105131771
0.0936,0.5072,0.3624,0.0878,0.098,0.4898,0.5102,61187,16872770,271465
0.0933,0.5082,0.367,0.0912,0.098,0.4898,0.5102,57654,34875,1447973
0.1157,0.1346,0.4555,0,0.1143,0.0833,0.1667,1376839,25740,669058
0.0938,0.5069,0.3587,0.0878,0.098,0.4898,0.5102,34801,14891118,2079627
0.1159,0.141,0.4561,0,0.1143,0.1,0.1667,148239,246945,3947880
0.3804,0.2508,0.7162,0.2449,0.5102,0.2325,0.265,30624994,28867163,31020923
0.3502,0.2502,0.744,0.2347,0.449,0.235,0.265,20139004,3078135,18554531
0.0933,0.5083,0.3644,0.0878,0.098,0.4898,0.5102,47731,16662032,262839
