"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.0941,0.506,0.3582,0.0878,0.098,0.4898,0.5102,44847,44845,1275644
0.1157,0.1359,0.4555,0,0.1143,0.1,0.1667,11761359,85102,90311682
0.1157,0.1332,0.4555,0,0.1143,0.1,0.1667,198737,30235,239849
0.0937,0.507,0.36,0.0878,0.098,0.4898,0.5102,38742,17673653,2369120
0.0979,0.1313,0.4613,0.0857,0.1,0.1,0.1667,81771635,178445,102604248
0.1157,0.1381,0.4555,0,0.1143,0.1,0.1667,7812480,979146,407153
0.0935,0.5077,0.3625,0.0878,0.098,0.4898,0.5102,51365,15628274,1759425
0.3135,0.2504,0.7195,0.2449,0.3878,0.2325,0.265,71263,82180,71460
0.1157,0.1329,0.4555,0,0.1143,0.0625,0.1667,135094,38571,2280542
0.1157,0.1354,0.4555,0,0.1143,0.1,0.1667,14604,444463,36954694
0.0933,0.5082,0.3661,0.0878,0.098,0.4898,0.5102,51742,20046759,639509
0.0979,0.1315,0.4615,0.0929,0.1,0.0833,0.1667,69898775,61534296,96290546
0.0935,0.5075,0.3602,0.0912,0.0946,0.4898,0.5102,28753,13277500,1910798
0.0979,0.1229,0.4612,0.0857,0.1,0.0833,0.1667,23889224,1003594,586701
0.3037,0.2496,0.717,0.1939,0.3878,0.2375,0.265,62466,56550,23689026
0.0937,0.5069,0.3603,0.0878,0.098,0.4898,0.5102,60273,17762473,1965286
0.0979,0.1212,0.4614,0.0929,0.1,0.0833,0.15,96241081,75669,105303180
0.0979,0.1254,0.4613,0.0857,0.1,0.0833,0.1667,85802551,1957618,101540657
0.0979,0.121,0.4613,0.0857,0.1,0.0833,0.1667,4512914,2455797,91795190
0.0937,0.5068,0.3612,0.0878,0.098,0.4898,0.5102,55028,16243087,1874463
0.1157,0.1377,0.4555,0,0.1143,0.1,0.1667,1115588,76417,29124
0.3804,0.2511,0.7398,0.2347,0.4592,0.2325,0.265,5949956,11040245,14319507
